1 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
197 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
198 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
199 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
200 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
201 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
202 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
203 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
204 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
205 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
206 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
207 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
208 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
209 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
210 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
211 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
212 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
213 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
214 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
215 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
216 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
217 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
218 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
219 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
220 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
221 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
222 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
223 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
224 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
225 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
226 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
227 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
228 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
229 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
230 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
231 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
232 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
233 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
234 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
235 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
236 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
237 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
238 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
239 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
240 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
241 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
242 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
243 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
244 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
245 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
246 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
247 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
248 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
249 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
250 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
251 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
252 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
253 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
254 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
255 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
256 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
257 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
258 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
259 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
260 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
261 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
262 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
263 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
264 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
265 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
266 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
267 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
268 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
269 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
270 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
271 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
272 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
273 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
274 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
275 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
276 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
277 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
278 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
279 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
280 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
281 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
282 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
283 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
284 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
285 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
286 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
287 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
288 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
289 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
290 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
291 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
292 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
293 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
294 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
295 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
296 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
297 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
298 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
299 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
300 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
301 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
302 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
303 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
304 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
305 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
306 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
307 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
308 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
309 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
310 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
311 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
312 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
313 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
314 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
315 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
316 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
317 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
318 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
319 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
320 ('+', '*', '-', '/', '-') (100, 7, 25, 9, 3, 7)
321 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
322 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
323 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
324 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
325 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
326 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
327 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
328 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
329 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
330 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
331 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
332 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
333 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
334 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
335 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
336 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
337 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
338 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
339 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
340 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
341 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
342 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
343 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
344 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
345 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
346 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
347 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
348 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
349 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
350 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
351 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
352 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
353 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
354 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
355 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
356 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
357 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
358 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
359 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
360 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
361 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
362 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
363 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
364 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
365 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
366 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
367 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
368 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
369 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
370 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
371 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
372 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
373 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
374 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
375 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
376 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
377 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
